GeneA,GeneB,ClustA_Score,ClustB_Score,Total_Score,PairCorr_Signed,PairCorr_Abs
egfr,parp2,1.0025718173111573,0.5654952489491045,1.5680670662602618,0.9683750730984358,0.9683750730984358
egfr,fgfr2,0.9432052186906015,0.524802608938806,1.4680078276294075,0.9964931180271343,0.9964931180271343
egfr,birc2,0.8870089463972777,0.520359588621491,1.4073685350187688,0.9344345179626946,0.9344345179626946
egfr,cdk6,0.8881572449095148,0.504124580916761,1.392281825826276,0.987299101949138,0.987299101949138
parp2,fgfr2,0.8578592141453454,0.5067649197638898,1.3646241339092353,0.9771851431672095,0.9771851431672095
parp2,birc2,0.8016629418520216,0.5023218994465748,1.3039848412985964,0.9829629899620027,0.9829629899620027
parp2,cdk6,0.8028112403642587,0.48608689174184483,1.2888981321061035,0.980462855606024,0.980462855606024
egfr,pik3ca,0.8276766793147462,0.4509199332602554,1.2785966125750017,0.9935254555670235,0.9935254555670235
egfr,cdk4,0.8069939813438749,0.44078531021411066,1.2477792915579855,0.989129650399188,0.989129650399188
egfr,erbb2,0.7513078252693514,0.45844254382133764,1.209750369090689,0.19956196239396548,0.19956196239396548
fgfr2,birc2,0.7422963432314658,0.4616292594362763,1.203925602667742,0.9486488485433934,0.9486488485433934
fgfr2,cdk6,0.7434446417437028,0.44539425173154634,1.1888388934752492,0.9894915884040362,0.9894915884040362
egfr,hdac6,0.762908209108411,0.4146027283819184,1.1775109374903294,0.9960817020695649,0.9960817020695649
parp2,pik3ca,0.7423306747694901,0.4328822440853392,1.1752129188548293,0.9777581873872261,0.9777581873872261
parp2,cdk4,0.7216479767986188,0.42274762103919444,1.1443955978378133,0.9819189374094136,0.9819189374094136
birc2,cdk6,0.687248369450379,0.44095123141423137,1.1281996008646105,0.9573594882590354,0.9573594882590354
parp2,erbb2,0.6659618207240953,0.44040485464642143,1.1063666753705168,0.3164185699129756,0.3164185699129756
fgfr2,pik3ca,0.6829640761489343,0.3921896040750407,1.075153680223975,0.9944073103147324,0.9944073103147324
parp2,hdac6,0.6775622045631549,0.3965650392070022,1.074127243770157,0.9773195696452778,0.9773195696452778
fgfr2,cdk4,0.662281378178063,0.38205498102889596,1.044336359206959,0.993884317978859,0.993884317978859
birc2,pik3ca,0.6267678038556105,0.38774658375772575,1.0145143876133362,0.9485268260040951,0.9485268260040951
fgfr2,erbb2,0.6065952221035394,0.39971221463612294,1.0063074367396623,0.22492281262013267,0.22492281262013267
cdk6,pik3ca,0.6279161023678476,0.3715115760529958,0.9994276784208433,0.9879242477295941,0.9879242477295941
egfr,ptk2,0.6324597035899107,0.36029641881345154,0.9927561224033622,0.5605530185798236,0.5605530185798236
birc2,cdk4,0.6060851058847392,0.377611960711581,0.9836970665963202,0.9510551256531642,0.9510551256531642
fgfr2,hdac6,0.618195605942599,0.3558723991967037,0.9740680051393027,0.9964709928672331,0.9964709928672331
cdk6,cdk4,0.6072334043969763,0.361376953006851,0.9686103574038273,0.9890369923538096,0.9890369923538096
birc2,erbb2,0.5503989498102156,0.3952691943188079,0.9456681441290236,0.37998451238578285,0.37998451238578285
cdk6,erbb2,0.5515472483224527,0.37903418661407795,0.9305814349365307,0.30549769646740654,0.30549769646740654
birc2,hdac6,0.5619993336492752,0.35142937887938874,0.913428712528664,0.9475048188972357,0.9475048188972357
parp2,parp1,0.5461492972677853,0.3531098941318331,0.8992591913996184,0.1614458131054114,0.1614458131054114
cdk6,hdac6,0.5631476321615123,0.3351943711746588,0.8983420033361711,0.98775699634462,0.98775699634462
parp2,ptk2,0.5471136990446546,0.3422587296385353,0.8893724286831899,0.641085532065399,0.641085532065399
pik3ca,cdk4,0.5467528388022077,0.30817230535034534,0.854925144152553,0.9881887279765555,0.9881887279765555
erbb2,pik3ca,0.49106668272768417,0.3258295389575723,0.8168962216852564,0.21909691775648876,0.21909691775648876
fgfr2,ptk2,0.48774710042409875,0.30156608962823683,0.7893131900523356,0.5908616247542604,0.5908616247542604
erbb2,cdk4,0.47038398475681287,0.3156949159114275,0.7860789006682404,0.23729774012422364,0.23729774012422364
pik3ca,hdac6,0.5026670665667436,0.2819897235181531,0.7846567900848967,0.9945295689146536,0.9945295689146536
cdk4,hdac6,0.4819843685958724,0.27185510047200834,0.7538394690678807,0.9908986415247361,0.9908986415247361
birc2,parp1,0.4305864263539057,0.3079742338042196,0.7385606601581254,0.19127552991671148,0.19127552991671148
birc2,ptk2,0.43155082813077494,0.2971230693109218,0.7286738974416967,0.694070347051235,0.694070347051235
cdk6,parp1,0.4317347248661428,0.29173922609948966,0.7234739509656325,0.17308112794811606,0.17308112794811606
erbb2,hdac6,0.4262982125213488,0.2895123340792353,0.7158105466005842,0.1956634087956749,0.1956634087956749
cdk6,ptk2,0.432699126643012,0.28088806160619184,0.7135871882492039,0.6557294097329394,0.6557294097329394
pik3ca,parp1,0.37125415927137423,0.23853457844298398,0.6097887377143583,0.10405471351682737,0.10405471351682737
pik3ca,ptk2,0.37221856104824347,0.22768341394968622,0.5999019749979297,0.5900203440056225,0.5900203440056225
cdk4,parp1,0.35057146130050293,0.22839995539683922,0.5789714166973421,0.11524688370070812,0.11524688370070812
cdk4,ptk2,0.35153586307737217,0.21754879090354146,0.5690846539809136,0.5940004296530502,0.5940004296530502
erbb2,parp1,0.29488530522597933,0.24605718900406617,0.5409424942300455,0.7985824761479797,0.7985824761479797
erbb2,ptk2,0.2958497070028486,0.23520602451076839,0.5310557315136171,0.7825769544766783,0.7825769544766783
